ZIP,CBSA,CBSA_NAME,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
7096,35620,"New York-Newark-Jersey City, NY-NJ",SECAUCUS,NJ,1,1,1,1
7097,35620,"New York-Newark-Jersey City, NY-NJ",JERSEY CITY,NJ,0,0,1,1
7099,35620,"New York-Newark-Jersey City, NY-NJ",KEARNY,NJ,0,0,1,1
7101,35620,"New York-Newark-Jersey City, NY-NJ",NEWARK,NJ,1,1,1,1
7102,35620,"New York-Newark-Jersey City, NY-NJ",NEWARK,NJ,1,1,1,1
7103,35620,"New York-Newark-Jersey City, NY-NJ",NEWARK,NJ,1,1,1,1
7104,35620,"New York-Newark-Jersey City, NY-NJ",NEWARK,NJ,1,1,1,1
7105,35620,"New York-Newark-Jersey City, NY-NJ",NEWARK,NJ,1,1,1,1
7106,35620,"New York-Newark-Jersey City, NY-NJ",NEWARK,NJ,1,1,1,1
7107,35620,"New York-Newark-Jersey City, NY-NJ",NEWARK,NJ,1,1,1,1
7108,35620,"New York-Newark-Jersey City, NY-NJ",NEWARK,NJ,1,1,1,1
7109,35620,"New York-Newark-Jersey City, NY-NJ",BELLEVILLE,NJ,1,1,1,1
7110,35620,"New York-Newark-Jersey City, NY-NJ",NUTLEY,NJ,1,1,1,1
7111,35620,"New York-Newark-Jersey City, NY-NJ",IRVINGTON,NJ,1,1,1,1
7112,35620,"New York-Newark-Jersey City, NY-NJ",NEWARK,NJ,1,1,1,1
7114,35620,"New York-Newark-Jersey City, NY-NJ",NEWARK,NJ,1,1,1,1
7175,35620,"New York-Newark-Jersey City, NY-NJ",NEWARK,NJ,0,1,0,1
7201,35620,"New York-Newark-Jersey City, NY-NJ",ELIZABETH,NJ,1,1,1,1
7202,35620,"New York-Newark-Jersey City, NY-NJ",ELIZABETH,NJ,1,1,1,1
7203,35620,"New York-Newark-Jersey City, NY-NJ",ROSELLE,NJ,1,1,1,1
7204,35620,"New York-Newark-Jersey City, NY-NJ",ROSELLE PARK,NJ,1,1,1,1
7205,35620,"New York-Newark-Jersey City, NY-NJ",HILLSIDE,NJ,1,1,1,1
7206,35620,"New York-Newark-Jersey City, NY-NJ",ELIZABETHPORT,NJ,1,1,1,1
7207,35620,"New York-Newark-Jersey City, NY-NJ",ELIZABETH,NJ,1,1,1,1
7208,35620,"New York-Newark-Jersey City, NY-NJ",ELIZABETH,NJ,1,1,1,1
7302,35620,"New York-Newark-Jersey City, NY-NJ",JERSEY CITY,NJ,1,1,1,1
7303,35620,"New York-Newark-Jersey City, NY-NJ",JERSEY CITY,NJ,1,1,1,1
7304,35620,"New York-Newark-Jersey City, NY-NJ",JERSEY CITY,NJ,1,1,1,1
7305,35620,"New York-Newark-Jersey City, NY-NJ",JERSEY CITY,NJ,1,1,1,1
7306,35620,"New York-Newark-Jersey City, NY-NJ",JERSEY CITY,NJ,1,1,1,1
7307,35620,"New York-Newark-Jersey City, NY-NJ",JERSEY CITY,NJ,1,1,1,1
7310,35620,"New York-Newark-Jersey City, NY-NJ",JERSEY CITY,NJ,1,1,1,1
7311,35620,"New York-Newark-Jersey City, NY-NJ",JERSEY CITY,NJ,1,1,1,1
7399,35620,"New York-Newark-Jersey City, NY-NJ",JERSEY CITY,NJ,0,1,0,1
7401,35620,"New York-Newark-Jersey City, NY-NJ",ALLENDALE,NJ,1,1,1,1
7403,35620,"New York-Newark-Jersey City, NY-NJ",BLOOMINGDALE,NJ,1,1,1,1
7405,35620,"New York-Newark-Jersey City, NY-NJ",BUTLER,NJ,1,1,1,1
7407,35620,"New York-Newark-Jersey City, NY-NJ",ELMWOOD PARK,NJ,1,1,1,1
7410,35620,"New York-Newark-Jersey City, NY-NJ",FAIR LAWN,NJ,1,1,1,1
7416,35620,"New York-Newark-Jersey City, NY-NJ",FRANKLIN,NJ,1,1,1,1
7417,35620,"New York-Newark-Jersey City, NY-NJ",FRANKLIN LAKES,NJ,1,1,1,1
7418,35620,"New York-Newark-Jersey City, NY-NJ",GLENWOOD,NJ,1,1,1,1
7419,35620,"New York-Newark-Jersey City, NY-NJ",HAMBURG,NJ,1,1,1,1
